Name,Online_order,Book_table,Rate,Votes,Dish_liked,Approx_cost(for two people)
Bob's Restaurant,1,No,4.0 out of 5,330,"Palak Chicken, Mutton Keema Masala, Sarson Ka Saag, Mushroom Masala, Makkai Roti, Palak Paneer, Butter Chicken",500
Mother's Meal,1,No,3.8 out of 5,133,"Sweet Lassi, Thali, Kadhai Paneer, Kadhi, Aloo Paratha, Paneer Bhurji, Chole",200
Kitchen of Joy,1,No,4.1 out of 5,566,"Rolls, Egg Roll, Chai, Ginger Tea, Biryani, Rasgulla, Luchi",400
Marzipan Cafe & Bakery,1,No,4.2 out of 5,431,"Coffee, Cheesecake, Chicken Baguette, Pasta, Mudcake, Wedges, Hot Chocolate",700
Shaap,1,No,4.0 out of 5,237,"Buttermilk, Fish Curry, Biryani, Beef Fry, Pazham Pori, Chicken Malabari, Tea",500
Forage,0,Yes,4.1 out of 5,210,"Panna Cotta, Pasta, Steak, Fish, Lamb Chops, Chocolate Tart, Chocolate Mousse","1,500"
Ammi's Biryani,0,No,2.7 out of 5,231,"Seekh Kebab, Hyderabadi Biryani, Vegetable Biryani, Chicken Biryani, Raita, Kheer, Egg Biryani",350
Oye Amritsar,1,Yes,3.9 out of 5,1437,"Paneer Makhani, Chaat, Jalebi, Hara Bhara Kabab, Makke Ki Roti, Punjabi Lassi, Rabri","1,000"
Stuffd,1,No,3.8 out of 5,32,"Gol Gappe, Noodles, Lassi, Chocolate Milkshake",500
Woodstok,1,Yes,4.1 out of 5,1052,"Buffalo Chicken Wings, Chips, Peri Peri Prawn, Cocktails, Mocktails, Pizza, Mushroom Soup","1,400"
Vasudev Adiga's,0,No,3.0 out of 5,317,"Fruit Salad, Filter Coffee, Rava Masala Dosa, Tea, Pav Bhaji, Set Dosa, Onion Dosa",400
ABC Grand,1,No,3.5 out of 5,54,Biryani,700
Tunday Kababi,1,No,3.8 out of 5,721,"Tandoori Chicken, Galauti Kebab, Mughlai Paratha, Kheer, Mutton Biryani, Rolls, Rumali Roti",500
Taza Tawa,1,No,3.8 out of 5,168,"Chicken Grill, Chicken Shawarama, Shawarma, Tandoori Chicken, Rumali Roti, Rolls, Egg Biryani",450
The Pizza Bakery,1,Yes,4.8 out of 5,1724,"Pizza, Garlic Bread, Beer, Tiramisu, Vanilla Ice Cream, Ravioli, Coffee Ice Cream","1,200"
Paratha Plaza,1,No,3.7 out of 5,155,"Paratha, Panneer Butter Masala, Dal Tadka, Shahi Paneer, Sweet Lassi, Dal Makhani, Biryani",200
NH8,1,Yes,4.1 out of 5,2075,"Rajasthani Thali, Panneer Butter Masala, Shrikhand, Papdi Chaat, Rasgulla, Jal-jeera, Lunch Thali",800
La Madeleine Patisserie,0,No,3.9 out of 5,71,"Cup Cake, Cheesecake, Belgian Chocolate Cake, Chocolate Raspberry Cake, Blueberry Cheese Cake",200
Frootality,0,No,4.0 out of 5,213,"Sandwiches, Chicken Sandwich, Paneer Sandwich, Fruit Juices, Hot Chocolate, Oreo Shake, Watermelon Juice",400
Pulimunchi,1,Yes,4.3 out of 5,686,"Murgh Ghee Roast, Neer Dosa, Sea Food, Tender Coconut Souffle, Crab Ghee Roast, Fish, Prawn Ghee Roast","1,000"
Punjabi Khazana,0,No,3.5 out of 5,40,Butter Chicken,400
Rolls On Wheels,0,No,3.2 out of 5,122,"Rolls, Momos, Biryani, Veggie Roll, Vada, Paratha",200
Kund Indian Barbeque,0,Yes,4.0 out of 5,869,"Dal Makhani, Lassi, Palak Paneer, Mutton Roganjosh, Butter Chicken, Tandoori Chicken, Jal-jeera","1,100"
New Leaf Restaurant,1,Yes,3.7 out of 5,58,Hot Pot,"1,500"
Rayalaseema Spice,0,No,3.6 out of 5,116,Chicken Boneless Biryani,650
Himalyan Inn Tibet Kitchen,0,No,3.7 out of 5,42,Veg Momos,400
Tempteys,0,No,4.1 out of 5,131,"Gelato, Thick Shakes, Corn Flakes, Raspberry Shake, Brownie, Oreo Shake",400
Johny's Kitchen,1,No,4.1 out of 5,59,"Chole, Veg Thali",300
Five Star Cafe,0,No,3.8 out of 5,29,"Burgers, Rice",350
Mast Kalandar,0,No,2.4 out of 5,256,"Dal Makhani, Gulab Jamun, Lassi, Thali, Masala Chaach, Rice, Raita",450
Moonlight Kitchens,1,No,3.9 out of 5,123,Chilli Chicken,400
Rajan's Cafe,1,No,2.8 out of 5,79,"Coffee, Vegetable Biryani, Masala Chai, Roti",300
Hotel Tom's Restaurant,1,Yes,4.4 out of 5,712,"Sea Food, Appam, Creme Brulee, Fry Prawns, Dal Fry, Chicken Curry, Fish","1,000"
BabaYaga's,1,Yes,4.1 out of 5,201,"Cocktails, Masala Fries, Chicken Wings, Beer, Onion Rings, Pizza, Nachos","1,500"
Raat Ki Rani,1,No,4.3 out of 5,264,"Paratha, Kheer, Burgers, Ghee Rice, Rolls, Veg Burger, White Sauce Pasta",400
Samosa Party,1,No,4.1 out of 5,372,"Ginger Tea, Cheesy Samosa, Ginger Chai, Masala Tea, Indori Poha, Chocolate Samosa, Chicken Samosa",150
Achayyan's,1,No,3.8 out of 5,405,"Beef Fry, Kerala Parotta, Fish, Roast Beef, Appam, Crab Toast, Mackerel Fry",350
Raenss Cafe,1,No,2.4 out of 5,129,"Burgers, Hot Dog, Coffee, Hot Chocolate, Sandwich, Double Choco Mocha, Fish N Chips",600
Ginseng - Royal Orchid Hotel,0,Yes,4.0 out of 5,170,"Fish Chilli, Tea, Lamb, Thai Wok Chicken","1,900"
Mac Fast Food,0,No,2.8 out of 5,50,Burgers,400
Late Night,0,No,2.8 out of 5,43,Tandoori Chicken,500
The Humming Tree,1,No,4.1 out of 5,2415,"Sangria, Chicken Salad, Sandwiches, Cocktails, Pizza, Gnocchi, Chicken Satay","1,400"
Chungs Pavilion,1,No,3.9 out of 5,247,"Noodles, Drunken Chicken Wings, Sweet Corn Soup, Spring Roll",650
S.W.A.T Food Truck,1,No,3.7 out of 5,216,"Burgers, Nachos, Fries, Peri Peri Prawn, Fish, Virgin Mojito, Chips",450
Mukati Kitchen,1,No,3.7 out of 5,133,"Cajun Potato, Pasta, Panneer Butter Masala, Sandwich, Kulcha, Raita, Dal Makhani",500
Loveshack,0,Yes,4.0 out of 5,1724,"Corn Balls, Cocktails, Mocktails, Sunday Brunch, Fish, Chicken Wings, Nachos","1,600"
Gundappa Donne Biryani,1,No,2.5 out of 5,90,"Donne Biryani, Chilli Chicken, Chicken Guntur, Mutton Biryani, Chicken Biryani, Mutton Thali",300
The Teal Door Cafe,1,No,4.2 out of 5,1855,"Mocktails, Sandwiches, Mushroom Soup, Idli Platter, Nachos, Appam, Egg Dosa",800
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Felix,1,Yes,4.4 out of 5,689,"Burgers, Sandwiches, Peanut Butter Smoothie, Margherita Pizza, Ravioli, Cocktails, Salad","1,700"
Talk Over Table,0,No,4.0 out of 5,284,"Coffee, Broccoli Soup, Chicken Ceaser Salad, Chicken Burger, Wedges, Pasta, Pancakes",500
Suchithra Biryani House,0,No,3.7 out of 5,287,"Hyderabadi Biryani, Chicken Biryani, Prawn Biryani, Mutton Biryani, Ghee Roast Biryani, Chicken Guntur",450
Hotel Salala,0,No,3.7 out of 5,73,Biryani,400
Calcutta Victoria Chat House,0,No,3.5 out of 5,217,"Chaat, Pav Bhaji, Kheer, Jalebi, Panipuri, Tea, Dahipuri",150
Bengaluru House,0,No,3.7 out of 5,45,"Biryani, Mutton Fry, Buttermilk",500
New Shanthi Sagar,0,No,2.8 out of 5,118,"Coffee, Vada, Rava Masala Dosa, Faluda, Rice, Idli",450
Fazzito Kitchen,0,No,3.8 out of 5,210,"Tandoori Chaap, Rice, Tandoori Chicken, Tandoori Platter",700
Palki Restaurant,0,No,2.8 out of 5,93,"Murgh Ghee Roast, Biryani, Dal Fry",500
Allahabadi Tadaka,0,No,2.9 out of 5,46,Dal Tadka,250
Biryani Club,0,No,2.9 out of 5,31,Ambur Biryani,400
Kanti's,0,No,3.1 out of 5,63,Thali,150
Bhikaram Chandmal Bhujiawala,0,No,3.7 out of 5,70,"Chaat, Pav Bhaji, Panipuri, Samosa, Chole Bhature, Jalebi, Paratha",200
The Tower Of Pizza,0,No,2.9 out of 5,68,Coorg Pandi Pizza,500
Eggzotic,0,No,4.0 out of 5,391,"Panneer Butter Masala, Rolls, Chicken Roll, Paneer Roll, Tandoori Chicken, Naan, Egg Bhurji",500
Kerala Vibes,0,No,3.6 out of 5,80,Roast Beef,500
Jumping Beans,1,No,4.0 out of 5,220,"Jackfruit Biryani, Naan, Tomato Soup, Soya Chaap Tikka, Raita, Peri Peri Fries, Kheer",850
Mojo Pizza - 2X Toppings,1,No,4.3 out of 5,203,"Garlic Bread, Chocolava Cake, Chicken Pizza",600
Upsouth,1,No,3.8 out of 5,52,"Filter Coffee, Bonda, Vada, Aloo Curry, Masala Dosa",200
Lavonne,0,No,4.4 out of 5,1099,"Coffee, Burgers, Croissants, Pasta, Cheesecake, Sandwich, Spaghetti",800
Milano Ice Cream,0,No,4.9 out of 5,2090,"Pie, Vanilla Gelato, Mango Ice Cream, Tiramisu, Truffle, Gelato Ice Cream, Ice Cream Sandwiches",400
CakeWalk,0,No,4.1 out of 5,540,"Rainbow Pastry, Cheesecake, Brownie, Fruit Cake, Rainbow Cake, Pie, Sandwiches",500
Natural Ice Cream,0,No,4.6 out of 5,922,"Mango Ice Cream, Coffee, Chocolate Icecreams, Tender Coconut Ice Cream, Kala Jamun, Kesar Pista, Malai Korma",150
Spoonful Of Sugar,0,No,4.0 out of 5,863,"Chicken Lasagne, Bannoffee Pie, Cup Cake, Salad, Salads, Nutella Cheesecake, Tiramisu",800
Amma's Pastries,0,No,4.0 out of 5,74,"Blueberry Cheesecake, Lava Cake",400
Sweet Truth,1,No,4.0 out of 5,48,"Cheesecake, Chocolate Decadence, Chocolate Fantasy, Lava Cake, Chocolava Cake, Chocolate Cake, Red Velvet Cake",500
The French Loaf,1,No,3.5 out of 5,138,"Cup Cake, Almond Pie, Chicken Delight, Apple Pie, Chicken Quiche",400
KC Das - Sweet Paradise,0,No,2.9 out of 5,52,"Rasgulla, Samosa",200
Cafe Coffee Day The Lounge,1,No,2.9 out of 5,59,"Coffee, Sandwiches, Pasta",650
Baskin Robbins,0,No,3.8 out of 5,80,"Cotton Candy, Banana Split",250
Kanti's,1,No,3.3 out of 5,66,"Thali, Paratha",300
The Leela Cake Shop - The Leela Palace,0,No,3.9 out of 5,72,Macaroon,"1,200"
Banchharam,0,No,3.9 out of 5,65,"Rasgulla, Mishti Doi, Samosa, Kheer Kadam, Veg Cutlet, Rasmalai",200
Sly Granny - The Community House,0,Yes,4.4 out of 5,953,"Cocktails, Pie, Rolls, Mezze Platter, Schnitzel, Pancakes, Eggs Benedict","2,500"
Nevermind - Bar & Social,0,Yes,NEW,0,"Pasta, Nachos, Beef Teriyaki, Pizza","1,700"
Barbeque Nation,0,Yes,4.7 out of 5,7160,"Mutton Curry, Tender Coconut Payasam, Mutton Seekh Kebab, Kulfi, Kheer, Chicken Biryani, Brownie","1,600"
Toit,0,No,4.7 out of 5,14956,"Beer, Pesto Pizza, Nachos, Cocktails, Beef Lasagna, Mai Thai, Tacos","1,500"
Bob's Bar,0,No,4.3 out of 5,424,"Mutton Chops, Filter Coffee, Donne Biryani, Pork Ribs, Roast Beef, Honey Cake, Keema Dosa","1,000"
Arena - Artisanal Brewkitchen,0,Yes,4.1 out of 5,177,"Cocktails, Mocktails, Pizza, Sushi, Beer","2,000"
Vapour Pub & Brewery,0,Yes,4.2 out of 5,6907,"Pesto Pasta, Craft Beer, Wheat Beer, Cocktails, Crispy Chilli Corn, Butter Chicken, Paneer Tikka","1,400"
The Black Rabbit,0,Yes,4.3 out of 5,4187,"Burgers, Spicy Fries, Cosmopolitan, Cocktails, Custard, Pepperoni Pizza, Peri Peri Chicken","1,500"
1131 Bar + Kitchen,0,Yes,4.6 out of 5,2785,"Pizza, Chocolate Cake, Cocktails, Beer, Nachos, Sangria, Mocktails","1,500"
Three Dots & A Dash,0,Yes,4.1 out of 5,3864,"Cocktails, Pork Dumplings, Pork Steak, Cosmopolitan, Pizza, Mocktails, Chicken Pasta","1,300"
LOFT38,0,Yes,4.3 out of 5,3592,"Cocktails, Mushroom Pizza, Pork Ribs, Mocktails, Nachos, Sea Food, Long Island Iced Tea","2,100"
Chianti,0,Yes,4.7 out of 5,4398,"Pasta, Pizza, Salads, Tiramisu, Wine, Bruschettas, Sangria","1,500"
Tipsy Bull - The Bar Exchange,0,Yes,4.4 out of 5,2993,"Cocktails, Peri Peri Chicken, Pizza, Mocktails, Biryani, Sangria, Chicken Dim Sum","1,400"
BTDT? Been There Done That,0,Yes,4.3 out of 5,879,"Cocktails, Momos, Pizza, Roti, Mocktails, Nachos, Fish","1,300"
Tippler,0,Yes,4.2 out of 5,2901,"Cocktails, Pie, Peri Peri Fries, Long Island Iced Tea, Chicken Steak, Mocktails, Nachos","1,300"
Bricklane,0,Yes,4.2 out of 5,1633,"Pizza, Tandoori Chicken, Mocktails, Sali Boti, Chocolate Mud Pot, Cocktails, Crispy Lotus Stem","1,500"
Phobidden Fruit,0,No,4.4 out of 5,2921,"Pho, Noodles, Salads, Mocktails, Veg Momos, Banh Cuon, Pork Chops","1,100"
Bologna,0,Yes,4.5 out of 5,717,"Tiramisu, Pasta, Pizza, Lasagne, Bruschettas, Mango Mousse, Watermelon Sangria","1,000"
The Marina,0,No,4.4 out of 5,542,"Sea Food, Jumbo Prawns, Malabar Fish Curry, Crab Soup, Mocktails, Ghee Rice, Veg Starter","1,200"
Barebones - The Balcony Bar,0,Yes,4.2 out of 5,2445,"Chips, Lamb, Cocktails, Wedges, Roast Chicken, Pizza, Margarita","1,500"
Esplanade,0,No,4.3 out of 5,1563,"Fish, Daab Chingri, Luchi, Chicken Rezala, Plain Rice, Kosha Mangsho, Mochar Ghonto","1,000"
Cafe Max,0,No,4.2 out of 5,1654,"Pasta, Wine, Mocktails, Coffee, Virgin Mojito, Salads, Sangria","1,300"
Chinita Real Mexican Food,0,No,4.4 out of 5,2658,"Nachos, Churros, Burrito Bowl, Tacos, Enchiladas, Quesedillas, Salads","1,200"
Monet's Bistro,0,No,4.5 out of 5,198,"Burgers, Macaroon, Eclair, Coffee, Sandwich, Fries, Hot Chocolate",600
Plan B,0,No,4.2 out of 5,1651,"Burgers, Chicken Wings, Beer, Cocktails, Peri Peri Chicken Steak, Peri Peri Wings, Peri Fries","1,200"
Empire Restaurant,1,No,4.2 out of 5,8185,"Dum Biryani, Fiery Chicken, Butter Chicken, Pepper Chicken, Paneer Tikka Masala, Chicken Grill, Corn Paratha",750
Haute,0,Yes,4.2 out of 5,69,"Wine, Potato Salad, Bibimbap, Risotto, Lamb","1,200"
Swing,0,Yes,3.8 out of 5,201,"Chicken Wings, Murgh Ghee Roast, Paneer Tikka","1,000"
Sanchez Taqueria & Cantina,0,No,4.1 out of 5,57,"Churros, Salad, Nachos, Burrito",800
Wall Street 657,0,No,4.1 out of 5,1858,"Beer, Cocktails, Brownie, Chicken Satay, Chicken Wings, Pizza, Chilli Paneer","1,200"
Xtreme Sports Bar,0,Yes,3.6 out of 5,1111,"Mojito, Beer, Cocktails, Chicken Wings, Pasta, Nachos, Potato Wedges","1,400"
Agent Jack's Bar,0,Yes,4.0 out of 5,592,"Margarita, Masala Peanuts, Cocktails, Momos, Pizza, Chilli Chicken, Beer","1,300"
Hangover,1,Yes,4.0 out of 5,1413,"Cocktails, Blueberry Cheesecake, Margarita, Long Island Iced Tea, Sangria, Bbq Pizza, Beer","1,500"
Pecos Stones,0,Yes,4.2 out of 5,1089,"Chicken Curry, Chicken Dosa, Sea Food, Masala Peanuts, Chicken Tacos, Draught Beer, Lime Soda","1,100"
Soo Ra Sang,0,No,4.1 out of 5,290,"Cheesecake, Beef Bulgogi, Kimchi, Bibimbap, Clear Soup, Cinnamon Tea, Sushi","1,500"
Elongo's,0,No,3.9 out of 5,48,"Beer, Wings",900
Wanley,0,No,4.0 out of 5,514,"Noodles, Manchow Soup, Dragon Chicken, Sweet Corn Soup, Roast Pork Chilli, Chop Suey, Roasted Pork",500
Sherlock's Pub,0,Yes,3.9 out of 5,644,"Beer, Nachos, Cocktails, Salsa, Noodles, Pasta, Jalapeno Cheeseballs","1,500"
Bottle & Glass,0,Yes,4.0 out of 5,973,"Bbq Chicken Pizza, Cocktails, Sangria, Beer, Chicken Nachos, Mai Thai, Burgers","1,400"
A2B - Adyar Ananda Bhavan,1,No,3.0 out of 5,564,"Pav Bhaji, Filter Coffee, Onion Dosa, Rava Dosa, Mysore Pak, Vada, Filter Kaapi",400
Pot-O-Noodles,0,No,4.5 out of 5,60,"Ramen, Noodles, Gyoza, Rolls, Dumplings, Wasabi Ice Cream, Lime Mojito",800
Annapoorani,0,No,3.9 out of 5,434,"Filter Coffee, Deluxe Thali, Jolada Rotti, Ghee Roast Dosa, Pongal, Idiyappam, Akki Rottis",500
Jimi's Beer Cafe,0,Yes,3.9 out of 5,815,"Beer, Beef Steak, Potato Wedges, Burgers, Nachos, Chilli Pork, Masala Peanuts","1,700"
Bflat Bar,0,Yes,3.9 out of 5,854,"Biryani, Cocktails, Mushroom Pasta, Dragon Chicken, Beer, Noodles, Steak","1,600"
Bootlegger,0,Yes,4.0 out of 5,601,"Cocktails, Pasta, Chilli Pork, Beer, Beetroot Burger, Chicken Nachos, Pepperoni Pizza","1,800"
The Mad Teapot,0,Yes,4.1 out of 5,289,"Tea, Pasta, Sandwiches, Hot Chocolate, Sandwich, Pizza, Spaghetti",850
UTHRA,0,Yes,4.0 out of 5,103,"Kulfi, Mocktails, Dahipuri, Roti",800
Doff Pub and Lounge,0,Yes,4.1 out of 5,1341,"Beer, Cocktails, Pasta, Chicken Lollipop, Jalapeno Cheeseballs, Nachos, Chicken Fingers","1,500"
Thai House,1,No,4.2 out of 5,224,"Papaya Salad, Tom Yum Soup, Pad Thai, Thai Spice, Sea Food, Thai Green Curry, Bubble Tea",800
Regulars Pub & Grub,0,Yes,3.8 out of 5,263,"Beer, Masala Papad, Beef Fry, Paneer Tikka, Nachos, Murgh Ghee Roast, Chicken Pizza","1,000"
Nakkshatra,0,Yes,3.9 out of 5,79,"Paan Shot, Carrot Halwa, Apple Jalebi, Andhra Meal, Dal Makhani, Mutton Roganjosh, Gajar Ka Halwa","1,100"
New Shanthi Sagar,0,No,2.8 out of 5,211,"Coffee, Masala Dosa, Idli, Vada, Thali",650
Blistering Barnacles,0,Yes,3.9 out of 5,1214,"Strawberry Mojito, Cocktails, Chicken Momo, Caramel Custard, Long Island Iced Tea, Spring Roll, Tortilla Chips","1,200"
Head O State,0,Yes,3.8 out of 5,198,"Cocktails, Beer","1,000"
Mavalli Tiffin Room (MTR),0,No,4.3 out of 5,1878,"Masala Dosa, Filter Coffee, Lunch Thali, Rava Idli, Neer Dosa, Medu Vada, Tea",300
Sendhoor Coffee,0,No,3.9 out of 5,49,"Tea, Tomato Rice, Filter Coffee, Idli, Biryani",150
KFC,1,No,3.1 out of 5,668,"Zinger Burger, Crispy Chicken, Rice Bowl, Hot Wings, Pizza, Chicken Popcorn, Virgin Mojito",450
Domino's Pizza,1,No,3.0 out of 5,464,"Pane Pizza, Garlic Bread, Pepperoni Pizza, Chocolava Cake, Veggie Pizza, Cheese Burst Pizza",800
Five Star Chicken,1,No,3.7 out of 5,78,"Burgers, Chicken Bucket, Rolls, Chicken Fries",200
Leon Grill,1,No,4.2 out of 5,315,"Burgers, Chocolate Mousse, Peri Peri Wings, Peri Peri Fries, Wedges, Peri Peri Chicken Salad, Salads",500
Cafe Srinidhi,0,No,3.4 out of 5,90,Coffee,200
The Chennai Express,0,No,3.8 out of 5,166,"Idli, Filter Coffee, Vada Curry, Podi Dosa, Sweet Pongal",200
Kylie's,0,No,4.2 out of 5,261,"Chicken Teriyaki Bao, Kaffir Lime, Walnut Brownie, Rice Bowls, Khao Suey, Veg Bao, Snapper",500
California Burrito,0,No,4.2 out of 5,253,"Rice Bowl, California Burrito, Nachos, Salad, Burrito Bowl, Chips, Rice Bowls",400
Pathaan Sir,1,No,3.4 out of 5,155,"Rolls, French Fries, Chicken Momo, Roti, Pulpy Grape Juice, Mutton Keema, Chicken Kebab",250
Chakum Chukum Calcutta On A Roll,1,No,3.4 out of 5,89,"Rolls, Chicken Tikka Roll, Egg Roll, Veggie Roll",400
Subway,1,No,2.4 out of 5,258,"Salads, Salad, Sandwich, Chicken Ham, Roast Chicken Sub",600
Murphy's Brewhouse - The Paul Bangalore,0,Yes,4.3 out of 5,2031,"Chicken Bruschetta, Tandoori Chicken, Veggie Pizza, Barbeque Chicken Pizza, Nachos, Wheat Beer, Stout","1,700"
Vembanad - The Paul,0,Yes,4.2 out of 5,325,"Fish Curry, Appam, Kerala Parotta, Paratha, Beer, Kadala Curry, Sea Food","1,800"
Gurukrupa Paratha House,1,No,3.1 out of 5,330,"Paratha, Naan, Kadai Paneer, Malai Kofta, Panneer Butter Masala, Lassi, Chicken Keema",500
Vinny's,1,No,4.1 out of 5,360,"Pizza, Pasta, Mocktails, Tiramisu, Garlic Bread, Salsa, Raspberry Mojito",600
Masala Dani - The Paul,0,No,3.7 out of 5,56,"Dal Makhani, Kulfi, Rice, Lahori Chicken, Tandoori Roti","1,800"
Quench Bar,0,No,4.0 out of 5,108,"Rooftop Ambience, Decor","1,300"
Sri Krishna Sagar,0,No,3.6 out of 5,64,"Vada, Rava Masala Dosa, Biryani",150
Faasos,1,No,4.1 out of 5,110,"Chicken Wrap, Rolls, Chicken Overload, Falafel, Paratha, Paneer Wrap, Veggie Wrap",500
Bob's Restaurant,1,No,4.0 out of 5,330,"Palak Chicken, Mutton Keema Masala, Sarson Ka Saag, Mushroom Masala, Makkai Roti, Dal Tadka, Palak Paneer",500
Shri Krishna Bhavan,0,No,3.7 out of 5,96,"Pav Bhaji, Masala Dosa, Tea, Roti",350
Big Pitcher,0,Yes,4.7 out of 5,9041,"Beer, Cocktails, Tiramisu, Tawa Chicken, Mocktails, Chicken Satay, Sea Food","1,800"
Yauatcha,0,Yes,4.6 out of 5,2332,"Dumplings, Noodles, Cocktails, Mocktails, Mango Mascarpone Gateau, Macaroon, Chocolate Hazelnut Mousse","2,800"
Citrus - The Leela Palace,0,Yes,4.2 out of 5,590,"Salad, Steak, Rasgulla, Pizza, Salads, Waffles, Sunday Brunch","3,500"
Caraway Kitchen - Conrad Bengaluru,0,Yes,4.3 out of 5,147,"Pasta, Pancakes, Pizza, Fish, Chaat","2,800"
Jamavar - The Leela Palace,0,Yes,4.2 out of 5,519,"Chicken Chettinad, Vegetable Stew, Lobster, Kulfi, Chicken Curry, Butter Naan, Papdi Chaat","4,000"
CloudNYN - Sterling Mac Hotel,0,No,4.1 out of 5,403,"Pizza, Cocktails, Cheese Balls","1,000"
Limelight - Royal Orchid Hotel,0,Yes,4.0 out of 5,421,"Sea Food, Pizza, Coffee, Biryani, Chaat, Fish, Pasta","2,200"
Tiamo - Conrad Bengaluru,0,Yes,4.2 out of 5,139,"Ratatouille, Pizza, Tiramisu, Pasta, Wild Mushroom Risotto, Cocktails","2,500"
Bangalore Pub Exchange,0,Yes,4.1 out of 5,207,"Pizza, Fish, Cocktails, Pasta Alfredo, Brownie Chocolate, Biryani, Rumali Roti","1,000"
Zen - The Leela Palace,0,Yes,4.1 out of 5,245,"Wine, Dumplings, Set Menu, Chicken Dim Sum, Tom Kha Soup, Fish, Sunday Brunch","3,500"
Tiger Trail - Royal Orchid Hotel,0,Yes,4.1 out of 5,303,"Dahi Kebab, Nalli Nihari, Lamb, Rich Chicken Broth, Tashkent Naan, Paneer Tikka, Aam Panna","2,000"
XU,0,Yes,4.0 out of 5,427,"Cocktails, Biryani, Pizza, Veg Sushi Platter, Salads, Cheesecake, Lamb Chops","2,400"
Smaaash,0,Yes,4.2 out of 5,536,"Pizza, Nachos, Pasta, Potli Biryani, Mojito, Draught Beer, Long Island Iced Tea","1,500"
Le Cirque Signature - The Leela Palace,0,Yes,4.3 out of 5,126,"Wine, Asparagus Soup, Creme Brulee, Pasta, Ravioli, Tiramisu, Primavera","6,000"
Ice - Taj MG Road Bengaluru,0,Yes,4.1 out of 5,609,"Cocktails, Paneer Tikka, Beer","2,800"
Fort Kochi,0,Yes,4.1 out of 5,334,"Sea Food, Appam, Fish, Kerala Parotta, Sangria, Paratha, Cocktails","1,800"
Polo Club - The Oberoi,0,No,4.1 out of 5,115,"Sangria, Wine, Burgers, Tea, Cheesecake, Cheese Croquettes, Chicken Grill","3,000"
Szechwan Court - The Oberoi,0,No,4.1 out of 5,168,"Crabmeat Soup, Sesame Chicken, Clear Soup, Peking Duck, Crispy Lotus Stem, Jasmine Tea, Sea Food","2,500"
Library Bar - The Leela Palace,0,No,3.9 out of 5,108,Decor,"3,000"
The Punjabi Bites,0,No,3.9 out of 5,82,"Thali, Chole Bhature, Lassi, Gulab Jamun, Salad",150
Mighty Small,0,No,4.1 out of 5,258,"Mocktails, Beer, Chips, Pizza, Salsa, Nachos, Roti","1,200"
Liquid Lounge - Hyatt Centric MG Road,0,Yes,4.0 out of 5,91,Cocktails,"2,400"
J's Pastas and Pizzas,0,No,4.0 out of 5,142,"Garlic Bread, Pizza, Burgers, Salad, Chicken Burger, Baked Chicken, Potato Wedges",300
M.M.A Kababs Rolls & Biryani Center,1,No,2.7 out of 5,67,"Rolls, Chicken Grill",300
Jeff's - Royal Orchid Hotel,0,No,3.9 out of 5,73,"Cocktails, Draught Beer","1,800"
Sea Lions BBQ & Grills,0,Yes,4.6 out of 5,538,"Neer Dosa, Mutton Biryani, Brownie, Paan Ice Cream, Cocktails, Mocktails, Vegetable Biryani","1,100"
Subz,1,Yes,4.2 out of 5,2025,"Veg Buffet, Pasta, Salads, Rasmalai, Chaat, Biryani, Fries","1,000"
Fusion Theory,1,Yes,NEW,0,"Aam Panna, Pasta, Biryani, Paneer Tikka, Chinese Bhel, Veg Pulao, Pav Bhaji",700
1947,0,Yes,4.1 out of 5,2309,"Palak Paneer, Aam Panna, Crispy Corn, Gajar Ka Halwa, Panipuri, Kulfi, Salads",950
Cable Car,1,Yes,4.3 out of 5,1247,"Pasta, Salads, Mocktails, Veg Buffet, Paneer Tikka, Biryani, Falafel","1,000"
Chutney Chang,1,Yes,4.1 out of 5,2342,"Veg Momos, Brownie Chocolate, Palak Chaat, Mutton Biryani, Dahipuri, Fish, Sea Food","1,500"
Empire Restaurant,1,No,4.4 out of 5,4892,"Chicken Tikka Masala, Mutton Keema Dosa, Mutton Biryani, Raan Biryani, Brain Fry, Chicken Grill, Ghee Rice",750
Samskruti - Sanman Gardenia,1,No,4.0 out of 5,140,"Roti, Butter Kulcha, Fried Rice, Tomato Soup, Curd Rice, Lunch Buffet, Paneer Tikka",550
AB's - Absolute Barbecues,0,Yes,4.9 out of 5,6404,"Tangdi Chicken, Bbq Buffet, Chocolate Icecreams, Kofta Curry, Mutton Seekh Kabab, Paneer Curry, Mutton Keema","1,600"
Deja Vu Resto Bar,1,Yes,4.4 out of 5,2496,"Gajar Ka Halwa, Chilli Chicken, Hara Bhara Kebab, Custard, Brownie, Sev Puri, Pasta",900
Barbeque Nation,0,Yes,4.7 out of 5,3855,"Lunch Buffet, Goan Fish Curry, Mocktails, Chicken Biryani, Cocktails, Paan Kulfi, Pasta","1,600"
Sattvam,0,No,4.3 out of 5,357,"Noodles, Veg Buffet, Mango Juice, White Pasta, Panipuri, Thin Crust Pizza, Dal Makhani","1,200"
Village - The Soul of India,0,Yes,4.1 out of 5,2461,"Chaat, Pav Bhaji, Pakoda, Phirni, Veg Buffet, Jalebi, Gulab Jamun","1,000"
